sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
CGA;NA;LA CEIBA;Ciénaga;Magdalena;Aeródromo;10.7913;-74.1049;CALIMA S.A.;CALIMA S.A.;740;10;4500;18 | 36;147;1837;NA;03/05/2016;1A;Fumigación;2;47;47189,,,
CGW;CRC;SANTA ANA;Cartago;Valle del Cauca;Aeródromo;4.7584;-75.9561;MUNICIPIO;MUNICIPIO;2200;40;58/F/C/X/T;01 | 19;2977;1319;NA;NA;4D;Público;1103;76;76147,,,
CHA;NA;CHICORAL ESTRA;Espinal;Tolima;Aeródromo;4.2022;-74.9697;ESTRA LTDA;ESTRA LTDA;620;10;2000;14 | 32;1270;5613;NA;42303;1A;Fumigación;3;73;73268,,,
CHM;NA;CHAPARRAL;San Martín;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50689,,,
CHO;NA;CHICAMOCHA;Villavicencio;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;50;50001,,,
CHP;NA;LA CHAPA;Hato Corozal;Casanare;Aeródromo;5.9333;-71.45;CORREGIMIENTO;CORREGIMIENTO;500;30;3500;18 | 36;620;3660;NA;NA;1A;Público;14;85;85125,,,
CIE;NA;LA CHEKA;Ciénaga;Magdalena;Aeródromo;10.665;-74.1967;CALIMA S.A.;CALIMA S.A.;660;10;4500;12 | 30;111;6178;NA;NA;1A;Fumigación;2;47;47189,,,
CIM;CIM;GUSTAVO ROJAS PINILLA;Cimitarra;Santander;Aeródromo;6.3674;-73.9706;AEROCIVIL;AEROCIVIL;1500;40;12202;16 | 34;735;644;05/06/1967;NA;3C;Aerocivil;338;68;68190,,,
CJI;NA;LA LIBELULA;Cajicá;Cundinamarca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;25;25126,,,
CLA;NA;LA UNION;Castilla la Nueva;Meta;Aeródromo;3.3317;-73.295;RUBIELA AVILA S.;COMERCIALIZADORA ECO;750;10;2000;03 | 21;250;4941;NA;06/11/2015;1A;Fumigación;22;50;50150,,,
CLM;NA;CALAMAR GUAVIARE;San José del Guaviare;Guaviare;Aeródromo;1.9624;-72.645;MUNICIPIO;MUNICIPIO;1000;16;2950;06 | 24;540;538;NA;NA;2A;Público;1380;95;95001,,,
CLO;CLO;ALFONSO BONILLA ARAGON;Palmira;Valle del Cauca;Internacional;3.5431;-76.3817;AEROCIVIL;CONCESION AEROCALI S.A.;3000;45;71/F/B/W/T;01 | 19;3174;984;02/02/1987;NA;4E;Aerocivil;207439;76;76520,,,
CMA;NA;CANAIMA;Villavicencio;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;50;50001,,,
CMP;NA;CAMPOALEGRE;Campoalegre;Huila;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;41;41132,,,
CMR;NA;LA MARIA;Cumaral;Meta;Aeródromo;4.2436;-73.2131;HELICE LTDA.;HELICE LTDA.;660;15;2000;13 | 31;738;117;NA;09/03/2018;1A;Fumigación;15;50;50226,,,
CNL;NA;LAS CAÑAS;Candelaria;Valle del Cauca;Aeródromo;3.3064;-76.3357;MAR 2 S.A.S.;FUMIVALLE;740;15;4500;09 | 27;3451;1213;NA;09/05/2016;1A;Fumigación;NA;76;76130,,,
CNU;NA;SAN VICENTE;Castilla la Nueva;Meta;Aeródromo;3.8111;-73.4372;JOSE S. VANEGAS;FARO LTDA.;800;10;2000;12 | 30;977;689;NA;43204;1A;Fumigación;1;50;50150,,,
COA;NA;COFA -PALMIRA;Palmira;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;76;76520,,,
COG;COG;CONDOTO MANDINGA;Condoto;Chocó;Regional;5.072;-76.6766;AEROCIVIL;AEROCIVIL;1150;18;15/F/C/X/U;09 | 27;166;984;02/02/1987;NA;2C;Aerocivil;5130;27;27205,,,
COL;NA;COLOMBAIMA;Beltrán;Cundinamarca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;25;25086,,,
COZ;NA;TAMACA;Agustín Codazzi;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;20;20013,,,
CPB;CPB;CAPURGANA;Acandí;Chocó;Regional;8.6305;-77.3502;ACCION COMUNAL;ACCION COMUNAL;950;10;9/F/D/Y/T;03 | 21;12;1784;NA;NA;1A;Público;6004;27;27006,,,
CPC;NA;CUPICA;Bahía Solano;Chocó;Aeródromo;6.6987;-77.4832;ALCALDIA;ALCALDIA;870;15;11.35F/C/X/T;03 | 21;16;5732;NA;NA;1A;Público;341;27;27075,,,
CPE;NA;CAPELLANIA;Ariguaní;Magdalena;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;47;47058,,,
CPL;CPL;NAVAS PARDO;Chaparral;Tolima;Aeródromo;3.7238;-75.4654;AEROCIVIL;AEROCIVIL;1200;15;11/F/B/X/U;09 | 27;2729;499;20/07/1968;NA;2C;Aerocivil;538;73;73168,,,
CRA;NA;CINERA;San José de Cúcuta;Norte de Santander;Aeródromo;8.1708;-72.4746;ASOZULIA;ASOZULIA;900;10;5000;02 | 20;305;6327;NA;42688;1A;Fumigación;92;54;54001,,,
CRL;NA;SANTA BARBARA;Cumaral;Meta;Aeródromo;4.2329;-73.2523;UNIPALMA S.A.;UNIPALMA S.A.;850;18;3000;14 | 32;800;7055;NA;42356;1A;Privado;63;50;50226,,,
CRM;NA;CURUMANI;Curumaní;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46;20;20228,,,
CRN;NA;CORRAL NUEVO;Plato;Magdalena;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;58;47;47555,,,
CRR;NA;CERRITOS;Ambalema;Tolima;Aeródromo;4.8422;-74.7758;URUEÑA Y VILLA CIA S. EN C.;SANIDAD VEGETAL CRUZ;640;10;2000;01 | 19;807;6174;NA;42687;1A;Fumigación;NA;73;73030,,,
CRS;NA;CRAVO SUR;Yopal;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;85;85001,,,
CRU;CUO;CARURU;Carurú;Vaupés;Aeródromo;1.0135;-71.2961;MUNICIPIO;MUNICIPIO;1000;20;12200;11 | 19;646;62;NA;NA;2B;Público;4108;97;97161,,,
CRY;NA;EL VERGEL;Cabuyaro;Meta;Aeródromo;4.2065;-73.0026;AVIAL LTDA;AVIAL LTDA.;740;15;2000;07 | 25;540;998;NA;43242;1A;Fumigación;2;50;50124,,,
CST;NA;CENTRAL CASTILLA;Pradera;Valle del Cauca;Aeródromo;3.3629;-76.2891;RIOPAILA CASTILLA S.A.;RIOPAILA CASTILLA  S.A.;1000;10;5670;11 | 19;204;4735;NA;10/09/2016;1A;Fumigación;NA;76;76563,,,
CTG;CTG;RAFAEL NUÑEZ;Cartagena de Indias;Bolívar;Internacional;10.442;-75.5123;AEROCIVIL;CONCESION-SACSA;2380;45;79/F/A/X/T;01 | 19;7;4501;16/08/2012;42237;4D;Aerocivil;131998;13;13001,,,
CTO;NA;INGENIO LA CABAÑA -C.A.;Aipe;Huila;Aeródromo;3.1749;-75.3983;INGENIO LA CABAÑA S.A.;INGENIO LA CABAÑA S.A.;340;10;500;11 | 19;3329;2953;NA;05/08/2015;1A;Fumigación;1;41;41016,,,
CTP;NA;COTOPRIX;Riohacha;La Guajira;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;44;44001,,,
CUA;NA;LAS DELICIAS;Cumaral;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;50;50226,,,
CUC;CUC;CAMILO DAZA;San José de Cúcuta;Norte de Santander;Internacional;7.9274;-72.5116;AEROCIVIL;AEROCIVIL -ORIENTE S.A.S.;1920;45;76/F/D/X/T;02 | 20;1027;984;02/02/1987;NA;4D;Aerocivil;72216;54;54001,,,
CUC;CUC;CAMILO DAZA No.2;San José de Cúcuta;Norte de Santander;Internacional;7.9274;-72.5116;AEROCIVIL;AEROCIVIL -ORIENTE S.A.S.;2320;45;89.77 F/D/X/T;16 | 34;1027;984;02/02/1987;NA;4A;Aerocivil;NA;54;54001,,,
CUM;NA;EL VISO;Campoalegre;Huila;Aeródromo;2.7313;-75.3219;SANIDAD VEGETAL CRUZ VERDE;SANIDAD VEGETAL CRUZ VERDE;600;10;2500;12 | 30;1299;2136;NA;42853;1A;Fumigación;20;41;41132,,,
CUS;TAU;CUSIANA;Tauramena;Casanare;Aeródromo;4.9633;-72.6281;ALFONSO HUM. FERNANDEZ;CELTA LTDA.;700;10;2000;08 | 26;886;7274;NA;NA;1A;Fumigación;4;85;85410,,,
CUT;NA;CUATRO VIENTOS - CA;Melgar;Tolima;Aeródromo;4.2188;-74.7278;SOCIEDAD CAMILO POSADA Y CIA;CLUB ULTR-LA LIBELULA;250;10;500;02 | 20;1025;1841;NA;42534;UL;Privado;NA;73;73449,,,
CVN;CVE;COVEÑAS;Coveñas;Sucre;Aeródromo;9.401;-75.6913;ARC MINDEFENSA;ARC MINDEFENSA;1220;28;12202;05 | 23;31;984;NA;NA;2C;Militar;875;70;70221,,,
CVT;NA;CRUZ VERDE;Ibagué;Tolima;Aeródromo;4.3917;-75.1327;CRUZ VERDE;CRUZ VERDE;540;10;2000;14 | 32;3041;1735;NA;43310;1A;Fumigación;6;73;73001,,,
CYO;NA;EL EDEN;Cabuyaro;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50124,,,
CZI;NA;LA DILIA;Agustín Codazzi;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;20;20013,,,
CZU;CZU;LAS BRUJAS;Corozal;Sucre;Regional;9.3325;-75.2853;AEROCIVIL;EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte;1430;22;23/F/B/X/T;03 | 21;519;1862;19/07/1971;NA;3C;Aerocivil;14822;70;70215,,,
DAR;NA;DARIEN CALIMA;Calima;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;76;76126,,,
DJV;SJH;SAN JUAN DEL CESAR;San Juan del Cesar;La Guajira;Aeródromo;10.7419;-72.9911;MUNICIPIO;MUNICIPIO;800;15;5700;03 | 21;696;5855;NA;NA;1A;Público;2;44;44650,,,
DZI;NA;FADECO;Agustín Codazzi;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;506;20;20013,,,
EAS;NA;EL ALGARROBO;San Marcos;Sucre;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;354;70;70708,,,
EBG;EBG;EL TOMIN;El Bagre;Antioquia;Regional;7.5965;-74.8089;SOCIEDAD MINEROS A/QUIA;EL MUNICIPIO;1300;15;8/F/C/W/U;01 | 19;180;2443;NA;NA;1A;Público;6662;5;5250,,,
ECB;NA;EL ACEITUNO;Ibagué;Tolima;Aeródromo;4.3481;-75.0245;CULTIVOS Y SEMILLAS EL ACEITU;CRUZ VERDE;720;10;4500;15 | 33;2277;5916;NA;42329;1A;Fumigación;3;73;73001,,,
ECC;NA;EL CARMEN DE CHUCURI;El Carmen de Chucurí;Santander;Aeródromo;6.7406;-73.5544;MUNICIPIO;MUNICIPIO;700;12;12000;15 | 33;1200;2488;NA;NA;1A;Público;203;68;68235,,,
ECJ;NA;EL CORAJE;Ariguaní;Magdalena;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;47;47058,,,
ECM;NA;EL CARMEN DE GUAMAL;Guamal;Magdalena;Aeródromo;9.1703;-74.2119;MUNICIPIO;MUNICIPIO;870;27;2300;04 | 22;75;3660;NA;NA;1A;Público;NA;47;47318,,,
ECO;NA;ECOPETROL;Barrancabermeja;Santander;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;68;68081,,,
ECR;NA;EL CHORRO;Gamarra;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20295,,,
ECU;NA;LA FE;El Copey;Cesar;Aeródromo;10.1302;-74.0383;PALMERAS DE LA COSTA;PALMERAS DE LA COSTA;850;15;5000;03 | 21;304;2496;NA;42871;1A;Privado;2;20;20238,,,
EEA;NA;EL ESFUERZO;Manatí;Atlántico;Aeródromo;10.4119;-74.9619;INAT;INAT;717;12;2000;12 | 30;140;2989;NA;NA;1A;Público;NA;8;8436,,,
EEB;NA;EL ESPINO;El Espino;Boyacá;Aeródromo;6.4883;-72.5047;MUNICIPIO;MUNICIPIO;820;15;5670;08 | 26;7119;4239;NA;NA;1B;Público;2;15;15248,,,
EET;NA;EL ESCOBAL;Ibagué;Tolima;Aeródromo;4.3956;-75.0708;INVERSIONES AGROPECUARIAS DOIMA;SANIDAD VEGETAL CRUZ;600;13;2000;12 | 30;2450;401;31/01/2014;07/03/2017;1A;Fumigación;NA;73;73001,,,
EGI;NA;EL GILGAL;Acandí;Chocó;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;27;27006,,,
EGY;NA;EL GUAYABAL;Patía;Cauca;Aeródromo;2.08;-76.9827;ERNESTO DE LIMA LEFRANC;ERNESTO DE LIMA LEFRANC;950;15;2500;03 | 21;2697;5621;NA;12/11/2016;1A;Privado;NA;19;19532,,,
EJA;EJA;YARIGUIES;Barrancabermeja;Santander;Nacional;7.0244;-73.8068;AEROCIVIL;AEROCIVIL -ORIENTE S.A.S.;1800;45;61100;04 | 22;414;115;02/09/1965;NA;3C;Aerocivil;27366;68;68081,,,
EJU;NA;EL JUNCAL;Palermo;Huila;Aeródromo;2.8471;-75.3133;ASOJUNCAL;SANIDAD VEGETAL CRUZ VERDE;620;10;2000;03 | 21;1509;4949;01/10/2010;42359;1A;Fumigación;2;41;41524,,,
ELA;ECR;EL CHARCO;El Charco;Nariño;Aeródromo;2.4408;-78.1;MUNICIPIO;MUNICIPIO;800;12;6400;16 | 34;32;737;NA;NA;1A;Público;1419;52;52250,,,
ELB;ELB;LAS FLORES;El Banco;Magdalena;Aeródromo;9.0428;-73.9715;AEROCIVIL;AEROCIVIL;1225;28;19045;11 | 19;110;1374;06/04/1978;NA;3B;Aerocivil;589;47;47245,,,
ELC;NA;EL CAIRO;Castilla la Nueva;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;50;50150,,,
ELE;NA;EL RECREO;San Luis de Palenque;Casanare;Aeródromo;5.3206;-72.5778;HENRY POLANIA C.;SAO E.U.;840;10;2000;06 | 24;551;2495;NA;10/06/2017;1A;Fumigación;37;85;85325,,,
ELH;NA;EL LIMONAR;Campoalegre;Huila;Aeródromo;2.6205;-75.3624;SANIDAD VEGETAL CRUZ VERDE;SANIDAD VEGETAL CRUZ VERDE;600;10;2500;18 | 36;1936;2136;NA;42853;1A;Fumigación;6;41;41132,,,
ELI;NA;EL PARAISO;Nunchía;Casanare;Aeródromo;5.5576;-72.0041;JULIO PEREZ MORA;SANAR LTDA.;900;10;2000;03 | 21;669;4943;NA;42261;1A;Fumigación;2;85;85225,,,
ELM;NA;EL MARNE;Rionegro;Santander;Aeródromo;7.4233;-73.3806;JORGE LUIS OTERO SANCHEZ;JORGE LUIS OTERO SANCHEZ;760;18;4000;10 | 28;416;4874;NA;42996;1A;Privado;575;68;68615,,,
ELO;NA;EL RODEO;Orocué;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49;85;85230,,,
ELP;NA;EL PAILON;Candelaria;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;76;76130,,,
ELR;NA;EL RECUERDO;Flandes;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;73;73275,,,
ELS;NA;COMUNEROS;Socorro;Santander;Aeródromo;6.3835;-73.2573;MUNICIPIO;MUNICIPIO;720;15;5000;02 | 20;5250;306;NA;NA;1A;Público;37;68;68755,,,
ELT;NA;INGENIO PROVIDENCIA;El Cerrito;Valle del Cauca;Aeródromo;3.6383;-76.3038;INGENIO PROVIDENCIA;ING. PROVIDENCIA-ASOCAÑA;250;10;500;10 | 28;3667;2959;NA;05/08/2015;1A;Fumigación;1;76;76248,,,
ELU;NA;EL RUBY;Castilla la Nueva;Meta;Aeródromo;3.7811;-73.4817;NATALY RODRIGUEZ;FARO LTDA.;670;10;2000;10 | 28;987;689;NA;43204;1A;Fumigación;1;50;50150,,,
ELZ;NA;EL ZAMURO;Yopal;Casanare;Aeródromo;5.1244;-72.3369;BERNARDO CEDANO SABOGAL;SFA. LTDA;860;10;2000;14 | 32;656;5611;NA;09/10/2015;1A;Fumigación;NA;85;85001,,,
EOC;NA;EL RETIRO;San Vicente del Caguán;Caquetá;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;18;18753,,,
EOH;EOH;OLAYA HERRERA;Medellín;Antioquia;Nacional;6.2204;-75.5904;INVIAS;EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte);1800;38;20455;02 | 20;4920;1466;NA;NA;1A;Aerocivil;293591;5;5001,,,
EPR;NA;EL PARAISO;Ibagué;Tolima;Aeródromo;4.387;-75.026;JOSE M. MELENDRO;CRUZ VERDE;630;10;2000;10 | 28;2303;1735;NA;43310;1A;Fumigación;10;73;73001,,,
EPY;NA;CAYTA;El Copey;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;20;20238,,,
ESP;NA;ASTA;Espinal;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;73;73268,,,
ESS;NA;ANIVERSARIO ESTRA;Espinal;Tolima;Aeródromo;4.125;-74.9086;ESTRA LTDA;ESTRA LTDA;600;10;3000;03 | 21;1079;5613;NA;42303;1A;Fumigación;NA;73;73268,,,
ETA;NA;EL TAPON;Puerto Carreño;Vichada;Aeródromo;5.15;-69.1833;INDERENA;INDERENA;1080;20;12202;04 | 22;500;1412;NA;NA;2B;Público;2;99;99001,,,
ETO;NA;EL TORNILLO;Rionegro;Santander;Aeródromo;7.6222;-73.608;INVERSIONES GERBEL S.A.S.;CELTA LTDA.;1020;18;2000;17 | 35;230;7086;NA;42751;1A;Fumigación;41;68;68615,,,
ETR;NA;EL TRIUNFO;Ambalema;Tolima;Aeródromo;4.8647;-74.8037;ORGANIZACIÓN PAJONALES S.A.;ORGANIZACIÓN PAJONALES;900;15;4000;01 | 19;840;390;NA;43183;2A;Fumigación;1;73;73030,,,
EVC;NA;EL VIGIA;Villanueva;Casanare;Aeródromo;4.5543;-72.9157;EDUARDO VALENZUELA PLATA;FUMIVILLA LTDA;660;10;2000;12 | 30;662;2471;NA;12/06/2016;1A;Fumigación;5;85;85440,,,
EYP;EYP;EL ALCARAVAN;Yopal;Casanare;Nacional;5.3191;-72.3842;AEROCIVIL;AEROCIVIL;2250;30;50/F/B/X/T;05 | 23;1016;984;02/02/1987;NA;3C;Aerocivil;92726;85;85001,,,
FCA;NA;FASCA;Aguazul;Casanare;Aeródromo;5.1553;-72.5208;SFA LTDA.;SFA. LTDA.;750;10;2000;04 | 22;868;7054;NA;42357;1A;Fumigación;257;85;85010,,,
FDA;NA;FUNDACION;Fundación;Magdalena;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;47;47288,,,
FEO;NA;GUANAYAS;Fuente de Oro;Meta;Aeródromo;3.354;-73.5778;RAFAEL AYALA CELY INV. GUANAYA Y CIA S EN C.;RAFAEL AYALA ..INVERSIONES GUANAYAS;820;10;2000;06 | 24;820;5067;NA;42384;1A;Fumigación;NA;50;50287,,,
FLA;FLA;GUSTAVO ARTUNDUAGA PAREDES;Florencia;Caquetá;Nacional;1.589;-75.5643;AEROCIVIL;AEROCIVIL;1500;30;34/F/C/X/T;12 | 30;803;984;02/02/1987;NA;3C;Aerocivil;16997;18;18001,,,
FLD;NA;AEROSPORT - C.A.;Flandes;Tolima;Aeródromo;4.2331;-74.8347;CLUB COLOMBIANO DE AVIA.;CLUB. COL.AVIACION DEPORTIVA;350;10;500;04 | 22;1030;7240;NA;42359;UL;Privado;1;73;73275,,,
FLR;NA;LAS FLORES;Agustín Codazzi;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;20;20013,,,
FNO;NA;LA CANDELARIA;Fuente de Oro;Meta;Aeródromo;3.4214;-73.7258;GIOVANNI H.  OROZCO MOJICA;FARI LTDA;726;10;2000;07 | 25;984;1658;NA;42118;1A;Fumigación;6;50;50287,,,
FOO;NA;LA LUNA;Fuente de Oro;Meta;Aeródromo;3.4492;-73.5844;GIOVANNI OROZCO;FARI LTDA;800;10;2000;10 | 28;935;4445;NA;41905;1A;Fumigación;10;50;50287,,,
FRO;NA;FRONTINO EL PLATEADO;Frontino;Antioquia;Aeródromo;6.7221;-76.1465;MUNICIPIO;MUNICIPIO;800;18;5000;03 | 21;5577;5958;NA;NA;1A;Público;276;5;5284,,,
FTE;NA;CAÑO BLANCO;Fuente de Oro;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;50;50287,,,
FUL;NA;SAN LUIS;Fuente de Oro;Meta;Aeródromo;3.5019;-73.6697;FARI LTDA.;FARI LTDA;1000;15;2000;01 | 19;980;4506;NA;02/10/2015;2A;Fumigación;31;50;50287,,,
FUN;NA;ALGARROBO FANOR;Fundación;Magdalena;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;47;47288,,,
FUO;NA;MAJAGUAL;Fuente de Oro;Meta;Aeródromo;3.3903;-73.6964;MARIO GUTIERREZ PERDOMO;ASEM LTDA.;940;10;3000;04 | 22;1049;2949;NA;10/07/2016;1A;Fumigación;NA;50;50287,,,
FUR;NA;HALCONES;Fuente de Oro;Meta;Aeródromo;3.3731;-73.6133;FARI LTDA.;FARI LTDA;700;10;2000;12 | 30;853;1658;NA;42118;1A;Fumigación;NA;50;50287,,,
FUT;NA;LOS SABANALES;Fuente de Oro;Meta;Aeródromo;3.3697;-73.4639;MISAEL RODRIGUEZ CASTAÑEDA;FAGA LTDA.;720;10;2000;13 | 31;849;76;NA;42393;1A;Fumigación;1;50;50287,,,
GAM;NA;LA NENA CAYTA;Gamarra;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24;20;20295,,,
GAN;NA;EL PROGRESO;Granada;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;50;50313,,,
GCA;GCA;GUACAMAYAS;San Vicente del Caguán;Caquetá;Aeródromo;2.2833;-74.95;CORREGIMIENTO(MUNICIPIO);CORREGIMIENTO(MUNICIPIO);810;18;11500;13 | 31;1500;3660;NA;NA;1A;Público;4;18;18753,,,
GER;NA;GERMANIA;Gamarra;Cesar;Aeródromo;8.3306;-73.6949;INVERSIONES GERBEL S.A.S.;CELTA LTDA.;950;14;2000;12 | 30;246;7086;NA;42751;1A;Fumigación;40;20;20295,,,
GIR;GIR;SANTIAGO VILA;Flandes;Tolima;Regional;4.2753;-74.7961;AEROCIVIL;AEROCIVIL;1600;28;20.12/F/C/X/T;02 | 20;931;115;NA;NA;3C;Aerocivil;2143;73;73275,,,
GLJ;NA;LA JAGUA;Garzón;Huila;Aeródromo;2.1464;-75.6942;MINISTERIO DE DEFENSA;EJERCITO NACIONAL;1334;40;12202;05 | 23;2622;984;NA;NA;2B;Militar;170;41;41298,,,
GMO;NA;EL GUAMO ASTA;Guamo;Tolima;Aeródromo;3.9976;-74.9576;ASTA S.A.;SANIDAD VEGETAL CRUZ;650;10;2000;09 | 27;1119;6175;NA;42687;1A;Fumigación;NA;73;73319,,,
GOV;NA;GUADUALITO;Palmira;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;76;76520,,,
GPI;GPI;JUAN CASIANO;Guapí;Cauca;Regional;2.57;-77.898;AEROCIVIL;AEROCIVIL;1300;16;12.10/F/C/X/T;02 | 20;164;245;17/08/1960;NA;3C;Aerocivil;7490;19;19318,,,
GRM;NA;GUERIMA;Puerto Carreño;Vichada;Aeródromo;3.6299;-70.3231;GOBERNACION;DEPARTAMENTO;1220;20;5/F/D/X/T;04 | 22;416;13268;NA;NA;2B;Público;1744;99;99001,,,
GRN;NA;MALVINAS;Granada;Meta;Aeródromo;3.4208;-73.7653;FREDY REYES VALDERRAMA;SADELL S.A.S.;700;10;2000;14 | 32;1150;1124;NA;NA;1A;Fumigación;97;50;50313,,,
GTT;NA;GANADERIA EL TRIUNFO;Honda;Tolima;Aeródromo;5.1694;-74.7652;GARETH HYWEL HUGHES ART.;GARETH HYWEL HUGHES ART.;900;18;3000;05 | 23;774;704;NA;07/03/2017;1A;Privado;NA;73;73349,,,
GUE;NA;LA ESTRELLA;Guacarí;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;76;76318,,,
GUI;NA;GUINULERO;San Andrés de Tumaco;Nariño;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;52;52835,,,
GUN;NA;GUAMITOS;Palermo;Huila;Aeródromo;2.9142;-75.3967;AGROPECUARIA GUAMITOS LTDA;TEA S.A.;690;10;2000;18 | 36;1817;02-50239;NA;12/03/2013;1A;Fumigación;NA;41;41524,,,
GUR;NA;LA BASE FUMIVALLE;Guacarí;Valle del Cauca;Aeródromo;3.7766;-76.3217;MAR 2 S.A.S.;ARFA S.A.;640;10;2000;11 | 19;3278;400;NA;06/02/2017;1A;Fumigación;4;76;76318,,,
GUS;NA;GUSTAVO ROJAS PINILLA;Tunja;Boyacá;Aeródromo;5.5423;-73.3443;AEROCIVIL;COMODATO MUNICIPIO;1100;20;5670;04 | 22;8954;1291;NA;NA;2A;Aerocivil;604;15;15001,,,
GUT;NA;GUADALAJARA;Ibagué;Tolima;Aeródromo;4.3869;-75.1566;HELICE;HELICE;900;10;3000;01 | 19;3005;168;NA;43129;1A;Fumigación;NA;73;73001,,,
GYM;NA;FLAMINIO S. CAMACHO;Chía;Cundinamarca;Aeródromo;4.8125;-74.0651;AEROCIVIL;AEROCIVIL;1720;20;7000;11 | 19;8386;984;02/02/1987;NA;2B;Aerocivil;4571;25;25175,,,
HAC;NA;EL TRIUNFO;Puerto Triunfo;Antioquia;Aeródromo;5.9222;-74.7258;MUNICIPIO;MUNICIPIO;1150;11;7000;05 | 23;820;2070;NA;10/06/2014;2A;Público;860;5;5591,,,
